町名,世帯数(総数),世帯数(前回増減数),人口(総数),人口(前回増減数),人口(男),人口(女)
木直町,233,-30,657,-131,306,351
尾札部町,491,-60,1313,-187,640,673
川汲町,439,-25,1082,-112,478,604
安浦町,148,-8,367,-32,153,214
臼尻町,277,-25,666,-103,322,344
豊崎町,122,-20,315,-53,152,163
大船町,149,-3,410,-47,205,205
双見町,55,-5,160,-36,76,84
岩戸町,52,-5,154,-27,80,74
南茅部支所管内,2023,-186,5242,-752,2471,2771
全市計,123950,-2230,265979,-13148,120376,145603
